country,year,children_per_woman_total_fertility,government_health_spending_per_person_us,life_expectancy_years
Costa Rica,1996,2.74,169,76.8
Cote d'Ivoire,1996,5.99,10.6,51.6
Croatia,1996,1.51,323,73.5
Cuba,1996,1.64,108,75.5
Cyprus,1996,2.04,257,76.8
Czech Republic,1996,1.3,366,73.9
Denmark,1996,1.75,2370,75.8
Djibouti,1996,5.15,17.9,60.3
Dominican Republic,1996,3.07,26.1,73.4
Ecuador,1996,3.29,47.4,73.3
Egypt,1996,3.57,19,67.1
El Salvador,1996,3.48,55.3,71
Equatorial Guinea,1996,5.96,13.9,49.1
Eritrea,1996,5.79,2.89,52.5
Estonia,1996,1.38,194,69.8
Eswatini,1996,4.65,49.8,57.2
Ethiopia,1996,6.94,1.61,49.7
Fiji,1996,3.24,71.7,66.6
Finland,1996,1.76,1440,77
France,1996,1.73,2180,78.3
Gabon,1996,4.9,60.5,60
Gambia,1996,6.02,5.59,61.2
Georgia,1996,1.81,5.36,72.1
Germany,1996,1.32,2540,77
Ghana,1996,5.1,11.7,59.5
Greece,1996,1.36,589,78.3
Grenada,1996,2.99,88.3,72.2
Guatemala,1996,4.99,19,67.2
Guinea,1996,6.33,5.24,53.8
Guinea-Bissau,1996,6.2,6.15,50.7
Guyana,1996,3.07,36.2,65.8
Haiti,1996,4.78,9.09,55.4
Hungary,1996,1.49,257,70.7
Iceland,1996,2.1,1900,78.8
India,1996,3.58,4.08,62.1
Indonesia,1996,2.63,8.17,66.4
Iran,1996,2.96,40.8,72.5
Ireland,1996,1.91,950,75.9
Israel,1996,2.92,981,77.9
Italy,1996,1.23,1150,78.4
Jamaica,1996,2.74,73.9,74.1
Japan,1996,1.39,2140,80.5
Jordan,1996,4.47,79,71.7
Kazakhstan,1996,2.13,36.9,64.4
Kenya,1996,5.4,7.11,57.4
Kiribati,1996,4.3,76.1,59
Kuwait,1996,2.8,533,79.2
Kyrgyz Republic,1996,3.16,12.3,65.7
Lao,1996,5.17,10.2,54.8
Latvia,1996,1.27,81.3,69.2
Lebanon,1996,2.54,123,73.7
Lesotho,1996,4.48,16.9,55.4
Libya,1996,3.44,91.5,71.9
Lithuania,1996,1.57,92,70.4
Luxembourg,1996,1.72,2610,76.6
Madagascar,1996,5.91,5.5,57.4
Malawi,1996,6.36,2.86,45.1
Malaysia,1996,3.24,84.2,72.1
Maldives,1996,3.98,63.9,69.2
Mali,1996,7.02,8.54,51.5
Malta,1996,1.93,437,77.8
Mauritania,1996,5.7,11.4,61.7
Mauritius,1996,2.1,73.2,71
"Micronesia, Fed. Sts.",1996,4.61,165,64.8
Moldova,1996,1.81,26.4,66.6
Mongolia,1996,2.57,17.6,60.5
Montenegro,1996,1.95,72.1,74.1
Morocco,1996,3.16,16.4,68.2
Mozambique,1996,5.92,5.13,50.6
Myanmar,1996,2.99,0.4,57.2
Namibia,1996,4.47,97.6,58.9
Nepal,1996,4.6,1.67,62.8
Netherlands,1996,1.53,1460,77.6
New Zealand,1996,2.07,980,76.8
Niger,1996,7.72,2.54,49.4
Nigeria,1996,6.22,10.6,55.2
North Macedonia,1996,1.92,119,72.9
Norway,1996,1.89,2570,78
Oman,1996,4.98,199,71.4
Pakistan,1996,5.2,4.08,61.3
Panama,1996,2.83,158,76.2
Papua New Guinea,1996,4.65,33.4,55.8
Paraguay,1996,4.01,50.6,74
Peru,1996,3.23,56.8,72
Philippines,1996,3.96,17,69.3
Poland,1996,1.65,177,72.6
Portugal,1996,1.45,613,75.3
Qatar,1996,3.53,429,72.4
Romania,1996,1.34,38.8,69
Russia,1996,1.27,105,66
Rwanda,1996,6.05,4.43,47.5
Samoa,1996,4.69,51.6,71.1
Sao Tome and Principe,1996,5.49,19.4,63.6
Saudi Arabia,1996,4.75,136,73.8
Senegal,1996,5.88,8.75,59.2
Serbia,1996,1.86,91,71.1
Seychelles,1996,2.28,312,71
Sierra Leone,1996,6.56,3.18,51
Singapore,1996,1.66,375,77.8
Slovak Republic,1996,1.53,225,73
Slovenia,1996,1.25,619,75
Solomon Islands,1996,5.08,43,61.2
South Africa,1996,3.04,97.4,62.8
Spain,1996,1.2,852,78.2
Sri Lanka,1996,2.27,12.1,70.7
St. Lucia,1996,2.77,135,72
St. Vincent and the Grenadines,1996,2.64,98,71
Sudan,1996,5.76,2.77,61.5
Suriname,1996,3,61.3,69.9
Sweden,1996,1.6,2230,79.1
Switzerland,1996,1.5,2320,79.4
Syria,1996,4.41,21.1,70.8
Tajikistan,1996,4.46,2.31,64.4
Tanzania,1996,5.83,2.86,52.6
Thailand,1996,1.82,54.7,70.1
Timor-Leste,1996,6.63,23.6,63.9
Togo,1996,5.67,5.95,57.3
Tonga,1996,4.39,63.8,70.6
Trinidad and Tobago,1996,1.9,90.1,69.7
Tunisia,1996,2.49,65.3,73.4
Turkey,1996,2.71,80.7,71
Turkmenistan,1996,3.32,12.6,64.6
Uganda,1996,6.99,4.65,47
Ukraine,1996,1.34,34.3,67
United Arab Emirates,1996,3.23,580,72.3
United Kingdom,1996,1.74,1190,77
United States,1996,1.98,1750,76.3
Uruguay,1996,2.36,362,73.8
Uzbekistan,1996,3.36,21.8,67.6
Vanuatu,1996,4.68,26.6,63.1
Venezuela,1996,3.02,45,73
Vietnam,1996,2.53,5.36,70.5
Yemen,1996,7.25,11,61.2
Zambia,1996,6.15,13,45.7
Albania,1997,2.42,14.2,72.5
Algeria,1997,2.99,49.7,73.2
Angola,1997,6.79,10.5,50.2
Antigua and Barbuda,1997,2.28,246,74.4
Argentina,1997,2.66,373,73.5
Armenia,1997,1.7,7.36,71
Australia,1997,1.79,1180,78.6
Austria,1997,1.39,1930,77.6
