country,year,children_per_woman_total_fertility,government_health_spending_per_person_us,life_expectancy_years
Belarus,2003,1.26,87.5,68.4
Belgium,2003,1.7,2250,78.5
Belize,2003,3.28,95.4,71.5
Benin,2003,5.75,11,58.4
Bhutan,2003,3.09,37.3,68.3
Bolivia,2003,3.77,30.7,68.1
Bosnia and Herzegovina,2003,1.33,123,76
Botswana,2003,3.11,180,51.4
Brazil,2003,2.1,94.8,72.3
Brunei,2003,1.95,488,74.4
Bulgaria,2003,1.26,125,72.4
Burkina Faso,2003,6.4,8.17,54
Burundi,2003,6.82,1.65,47.5
Cambodia,2003,3.41,8.42,62.1
Cameroon,2003,5.43,10.8,54.6
Canada,2003,1.53,1880,79.8
Cape Verde,2003,3.36,59.8,72
Central African Republic,2003,5.44,4.72,44.7
Chad,2003,7.21,8.09,52.6
Chile,2003,2.02,134,77.3
China,2003,1.54,22.1,73.4
Colombia,2003,2.27,123,75.1
Comoros,2003,5.28,9.46,63.6
"Congo, Dem. Rep.",2003,6.81,1.16,54.6
"Congo, Rep.",2003,5.07,13.5,54.8
Costa Rica,2003,2.16,243,78.4
Cote d'Ivoire,2003,5.52,7.68,53.3
Croatia,2003,1.38,409,74.9
Cuba,2003,1.58,181,77.8
Cyprus,2003,1.58,557,77.4
Czech Republic,2003,1.21,598,75.5
Denmark,2003,1.76,3170,77.5
Djibouti,2003,4.12,33.6,61
Dominican Republic,2003,2.81,43.8,73.8
Ecuador,2003,2.87,32.1,74.2
Egypt,2003,3.09,23.4,68.4
El Salvador,2003,2.69,86.5,73
Equatorial Guinea,2003,5.68,82.7,59.3
Eritrea,2003,5.07,3.63,55.2
Estonia,2003,1.43,279,72
Eswatini,2003,3.98,63.6,44.5
Ethiopia,2003,6.04,3.43,54.8
Fiji,2003,2.95,76.5,66.7
Finland,2003,1.76,1920,78.7
France,2003,1.89,2490,79.6
Gabon,2003,4.33,67.2,58.9
Gambia,2003,5.88,7.62,62.1
Georgia,2003,1.6,11,72.6
Germany,2003,1.35,2520,78.8
Ghana,2003,4.61,9.21,59.6
Greece,2003,1.36,943,79.1
Grenada,2003,2.41,177,74.4
Guatemala,2003,4.25,42.3,69.4
Guinea,2003,5.88,5.23,55.5
Guinea-Bissau,2003,5.56,4.7,52.9
Guyana,2003,2.92,44.2,66.5
Haiti,2003,3.96,3.02,58.9
Hungary,2003,1.29,502,72.6
Iceland,2003,2.02,3300,81.1
India,2003,3.11,5.39,64.5
Indonesia,2003,2.51,10.7,68
Iran,2003,1.93,44.3,72.9
Ireland,2003,1.97,2220,78.2
Israel,2003,2.91,860,79.4
Italy,2003,1.31,1630,80.1
Jamaica,2003,2.44,82.1,75.9
Japan,2003,1.3,2170,82.1
Jordan,2003,3.83,91.8,74
Kazakhstan,2003,2.07,41.5,65.3
Kenya,2003,4.98,8.51,56
Kiribati,2003,3.95,96.1,59.8
Kuwait,2003,2.62,583,79.5
Kyrgyz Republic,2003,2.52,7.89,67
Lao,2003,3.85,4.59,59
Latvia,2003,1.3,156,70.9
Lebanon,2003,1.94,170,76.1
Lesotho,2003,3.74,19.3,45.6
Libya,2003,2.6,121,73.8
Lithuania,2003,1.29,267,72.2
Luxembourg,2003,1.66,4170,78.7
Madagascar,2003,5.24,7.34,60
Malawi,2003,6,9.14,46
Malaysia,2003,2.44,114,73.4
Maldives,2003,2.51,110,74.5
Mali,2003,6.84,9.4,55.3
Malta,2003,1.47,752,79.1
Mauritania,2003,5.28,15.2,64.9
Mauritius,2003,1.9,99.5,72.7
"Micronesia, Fed. Sts.",2003,4.01,204,66.4
Moldova,2003,1.25,21.8,69.2
Mongolia,2003,2.08,21.8,63.2
Montenegro,2003,1.85,181,74.3
Morocco,2003,2.64,23.4,70.3
Mozambique,2003,5.78,9.72,50.6
Myanmar,2003,2.83,0.49,60.1
Namibia,2003,3.77,91.4,52.6
Nepal,2003,3.58,3.54,67.3
Netherlands,2003,1.75,1980,78.6
New Zealand,2003,1.98,1260,78.9
Niger,2003,7.64,3.66,54
Nigeria,2003,6.04,8.6,56
North Macedonia,2003,1.61,128,74.1
Norway,2003,1.8,4130,79.5
Oman,2003,3.14,243,74.1
Pakistan,2003,4.21,3.65,62.4
Panama,2003,2.68,209,77.8
Papua New Guinea,2003,4.37,19.9,55.7
Paraguay,2003,3.21,23.2,74.7
Peru,2003,2.77,60.4,75.9
Philippines,2003,3.65,13.3,69.1
Poland,2003,1.28,248,74.9
Portugal,2003,1.44,1030,77.6
Qatar,2003,2.86,1260,76.1
Romania,2003,1.33,124,71.4
Russia,2003,1.33,98,65.1
Rwanda,2003,5.35,6.97,53.8
Samoa,2003,4.45,73.5,72.1
Sao Tome and Principe,2003,5.12,39.9,65.8
Saudi Arabia,2003,3.6,278,74.7
Senegal,2003,5.25,13.9,62.3
Serbia,2003,1.69,163,72.4
Seychelles,2003,2.2,373,72.1
Sierra Leone,2003,6.07,4.73,51.8
Singapore,2003,1.27,320,80.6
Slovak Republic,2003,1.22,318,74
Slovenia,2003,1.24,904,76.5
Solomon Islands,2003,4.58,42.2,61.1
South Africa,2003,2.73,126,52.8
Spain,2003,1.3,1210,79.6
Sri Lanka,2003,2.27,16,73.7
St. Lucia,2003,1.83,146,74
St. Vincent and the Grenadines,2003,2.23,143,72.2
Sudan,2003,5.27,5.54,64.3
Suriname,2003,2.75,87.7,69.5
Sweden,2003,1.73,2680,80.3
Switzerland,2003,1.42,2880,80.9
Syria,2003,3.74,29.1,74.4
Tajikistan,2003,3.59,2.23,68.9
Tanzania,2003,5.66,5.88,55.4
Thailand,2003,1.6,49.9,73.6
Timor-Leste,2003,6.97,26.1,66.5
Togo,2003,5.28,4.66,56.7
Tonga,2003,4.2,88.1,70.7
Trinidad and Tobago,2003,1.75,208,71.1
Tunisia,2003,2.02,80,75.2
Turkey,2003,2.35,174,75.9
Turkmenistan,2003,2.7,66.6,66.9
Uganda,2003,6.72,5.28,51.5
Ukraine,2003,1.17,42.5,68.3
United Arab Emirates,2003,2.33,611,72
United Kingdom,2003,1.69,1940,78.5
United States,2003,2.05,2610,77.2
Uruguay,2003,2.19,178,74.9
Uzbekistan,2003,2.51,9.46,67
Vanuatu,2003,4.06,43.4,63.3
Venezuela,2003,2.7,72.5,73.5
Vietnam,2003,1.9,8.15,72.1
Yemen,2003,5.78,16.6,64.8
Zambia,2003,5.92,16.2,47.6
Albania,2004,1.82,63.9,75.6
Algeria,2004,2.44,63.2,75
Angola,2004,6.5,19.7,54.8
Antigua and Barbuda,2004,2.25,291,75.6
Argentina,2004,2.47,174,74.9
Armenia,2004,1.4,16.3,73.2
Australia,2004,1.82,1920,80.8
Austria,2004,1.42,2790,79.4
Azerbaijan,2004,1.84,10.5,67.4
Bahamas,2004,1.86,633,72.9
Bahrain,2004,2.53,444,74.4
Bangladesh,2004,2.7,33.7,67.3
Barbados,2004,1.76,472,75.5
Belarus,2004,1.29,115,68.8
Belgium,2004,1.73,2680,79
Belize,2004,3.18,96.5,71.8
Benin,2004,5.69,11.9,58.8
Bhutan,2004,2.95,34.9,68.8
Bolivia,2004,3.68,32.6,68.5
Bosnia and Herzegovina,2004,1.3,139,76.2
Botswana,2004,3.04,346,51.6
Brazil,2004,2.03,121,72.6
Brunei,2004,1.89,558,74.5
Bulgaria,2004,1.3,145,72.5
Burkina Faso,2004,6.34,12.2,54.6
Burundi,2004,6.76,3.44,48.7
Cambodia,2004,3.31,9.26,62.9
Cameroon,2004,5.39,10.4,54.6
Canada,2004,1.55,2130,80.1
Cape Verde,2004,3.24,78.6,72.3
Central African Republic,2004,5.41,4.9,44.9
Chad,2004,7.15,8.45,53
Chile,2004,2,167,77.5
China,2004,1.55,26.6,73.7
Colombia,2004,2.24,145,75.6
Comoros,2004,5.25,11.8,64.1
"Congo, Dem. Rep.",2004,6.76,1.42,55.3
"Congo, Rep.",2004,5.05,18.4,55.6
Costa Rica,2004,2.11,246,78.5
Cote d'Ivoire,2004,5.47,9.35,53.7
Croatia,2004,1.37,498,75.5
Cuba,2004,1.58,186,77.7
Cyprus,2004,1.55,588,77.6
Czech Republic,2004,1.25,687,76
Denmark,2004,1.78,3690,77.8
Djibouti,2004,3.99,29.3,61.1
Dominican Republic,2004,2.78,36.1,73.1
Ecuador,2004,2.83,37.5,74.2
Egypt,2004,3.05,23.8,68.6
El Salvador,2004,2.6,93.4,72.5
Equatorial Guinea,2004,5.62,108,59.9
Eritrea,2004,5.01,3.78,55.6
Estonia,2004,1.48,345,72.5
Eswatini,2004,3.93,68.9,43.9
Ethiopia,2004,5.87,3.43,55.7
Fiji,2004,2.91,96.2,67
Finland,2004,1.8,2230,78.8
France,2004,1.92,2860,80.2
Gabon,2004,4.27,73.2,58.9
Gambia,2004,5.86,9.97,62.3
Georgia,2004,1.63,14.8,72.9
Germany,2004,1.35,2710,79.4
Ghana,2004,4.55,16,59.8
Greece,2004,1.38,1070,79.1
Grenada,2004,2.37,158,74
Guatemala,2004,4.11,42.1,69.7
Guinea,2004,5.8,3.71,55.7
Guinea-Bissau,2004,5.47,3.39,53.2
Guyana,2004,2.88,58.8,66.8
Haiti,2004,3.85,4.16,58.8
Hungary,2004,1.3,588,72.9
Iceland,2004,2.04,3720,81.2
India,2004,3.04,6.01,65.2
Indonesia,2004,2.52,10.7,66.5
Iran,2004,1.87,50.8,74.2
Ireland,2004,1.98,2670,78.5
Israel,2004,2.91,881,79.8
Italy,2004,1.34,1950,80.7
Jamaica,2004,2.4,104,76.5
Japan,2004,1.3,2350,82.3
Jordan,2004,3.78,107,74.4
Kazakhstan,2004,2.16,65.8,65.3
Kenya,2004,4.91,8.33,56.4
Kiribati,2004,3.93,112,59.9
Kuwait,2004,2.55,596,79.3
Kyrgyz Republic,2004,2.54,10,67.1
Lao,2004,3.72,3.36,59.7
Latvia,2004,1.35,219,71.2
Lebanon,2004,1.84,195,76.3
Lesotho,2004,3.64,23.8,44.8
Libya,2004,2.54,129,73.9
Lithuania,2004,1.3,253,72.1
Luxembourg,2004,1.65,5180,79
Madagascar,2004,5.14,5.99,60.2
Malawi,2004,5.96,12,46.7
Malaysia,2004,2.36,108,73.7
Maldives,2004,2.42,133,73.8
Mali,2004,6.82,12.1,56
Malta,2004,1.42,855,79.2
Mauritania,2004,5.23,18.6,65.3
Mauritius,2004,1.87,120,73
"Micronesia, Fed. Sts.",2004,3.91,217,66.5
Moldova,2004,1.22,30.1,69.1
Mongolia,2004,2.11,26,63.5
Montenegro,2004,1.85,207,74.4
Morocco,2004,2.61,27.1,70.5
Mozambique,2004,5.76,9.91,50.6
Myanmar,2004,2.78,0.667,60.6
Namibia,2004,3.71,104,52.4
Nepal,2004,3.43,4.75,67.5
Netherlands,2004,1.73,2240,79.1
New Zealand,2004,2.02,1570,79.3
Niger,2004,7.63,4.26,54.9
Nigeria,2004,6.01,14.7,56.5
North Macedonia,2004,1.57,141,74.7
Norway,2004,1.83,4540,79.8
Oman,2004,3.03,254,74.5
Pakistan,2004,4.13,4.32,62.6
Panama,2004,2.66,254,78
Papua New Guinea,2004,4.32,24.9,55.6
Paraguay,2004,3.12,27.8,74.1
Peru,2004,2.73,65.7,76.3
Philippines,2004,3.58,14,69.2
Poland,2004,1.28,282,75
Portugal,2004,1.43,1190,78.3
Qatar,2004,2.71,1350,76.6
Romania,2004,1.36,143,71.9
Russia,2004,1.34,127,65.3
Rwanda,2004,5.24,7.73,55.4
Samoa,2004,4.46,86.5,72.2
Sao Tome and Principe,2004,5.07,37,66
Saudi Arabia,2004,3.51,286,74.8
Senegal,2004,5.2,16.2,62.8
Serbia,2004,1.66,189,72.6
Seychelles,2004,2.22,401,72.1
Sierra Leone,2004,5.97,3.2,52.1
Singapore,2004,1.26,283,80.9
Slovak Republic,2004,1.23,417,74.4
Slovenia,2004,1.27,1030,77
Solomon Islands,2004,4.54,42.6,61
South Africa,2004,2.7,151,52.3
Spain,2004,1.33,1410,80.2
Sri Lanka,2004,2.28,20.6,69.3
St. Lucia,2004,1.74,160,74.2
St. Vincent and the Grenadines,2004,2.2,145,72.3
Sudan,2004,5.2,7.59,64.3
Suriname,2004,2.71,100,69.6
Sweden,2004,1.77,2980,80.2
Switzerland,2004,1.42,3210,81.3
Syria,2004,3.65,29.1,74.7
Tajikistan,2004,3.53,3.06,69.2
Tanzania,2004,5.65,5.18,56.1
Thailand,2004,1.58,55.7,73.8
Timor-Leste,2004,6.88,28.1,67.1
Togo,2004,5.23,6.16,56.9
Tonga,2004,4.18,95.3,70.7
Trinidad and Tobago,2004,1.76,233,71.5
Tunisia,2004,2,92.5,75.5
Turkey,2004,2.31,221,76.5
Turkmenistan,2004,2.67,73.2,66.5
Uganda,2004,6.65,5.92,52.5
Ukraine,2004,1.2,53.1,68
United Arab Emirates,2004,2.24,588,72
United Kingdom,2004,1.72,2390,79
United States,2004,2.06,2790,77.5
Uruguay,2004,2.17,172,75.1
Uzbekistan,2004,2.48,10.6,66.8
Vanuatu,2004,3.95,45.8,63.4
Venezuela,2004,2.66,99,74.7
Vietnam,2004,1.89,8.37,72.3
Yemen,2004,5.6,14.5,65.3
Zambia,2004,5.86,18.4,48.4
Albania,2005,1.75,71.4,76
Algeria,2005,2.5,69.3,75.3
Angola,2005,6.47,27.1,55.7
Antigua and Barbuda,2005,2.22,305,75.8
Argentina,2005,2.45,217,75.3
Armenia,2005,1.4,23.6,73.4
Australia,2005,1.86,2100,81.2
Austria,2005,1.41,2920,79.6
Azerbaijan,2005,1.82,13.6,67.5
Bahamas,2005,1.86,635,73.4
Bahrain,2005,2.45,475,75.1
Bangladesh,2005,2.61,37.4,67.6
Barbados,2005,1.76,498,75.5
Belarus,2005,1.32,154,68.6
Belgium,2005,1.76,2750,79.2
Belize,2005,3.07,105,72.3
Benin,2005,5.63,13.4,59.2
Bhutan,2005,2.84,44,69.3
Bolivia,2005,3.6,38.6,69
Bosnia and Herzegovina,2005,1.29,145,75.9
Botswana,2005,2.99,311,52.7
Brazil,2005,1.98,156,73.1
Brunei,2005,1.85,582,74.7
Bulgaria,2005,1.34,167,72.6
Burkina Faso,2005,6.27,15.8,55.3
Burundi,2005,6.69,4.67,49.7
Cambodia,2005,3.23,7.22,63.7
Cameroon,2005,5.35,10.6,54.9
Canada,2005,1.57,2430,80.2
Cape Verde,2005,3.13,75.6,72.5
Central African Republic,2005,5.38,4.42,45.2
Chad,2005,7.07,10.5,53.6
Chile,2005,1.98,201,77.9
China,2005,1.57,31.2,74.2
Colombia,2005,2.2,178,76.4
Comoros,2005,5.22,13.4,64.5
"Congo, Dem. Rep.",2005,6.71,2.19,55.9
"Congo, Rep.",2005,5.04,24.6,56.3
Costa Rica,2005,2.07,253,79.3
Cote d'Ivoire,2005,5.42,7.74,54.2
Croatia,2005,1.38,606,75.5
Cuba,2005,1.57,282,77.6
Cyprus,2005,1.52,589,77.9
Czech Republic,2005,1.3,769,76.3
Denmark,2005,1.8,3920,78.3
Djibouti,2005,3.87,43.2,61.6
Dominican Republic,2005,2.75,62.7,73.2
Ecuador,2005,2.79,40.5,74
Egypt,2005,3.02,26.8,68.8
El Salvador,2005,2.53,106,72.4
Equatorial Guinea,2005,5.56,135,60.2
Eritrea,2005,4.94,3.6,56
Estonia,2005,1.54,398,72.9
Eswatini,2005,3.87,82,43.6
Ethiopia,2005,5.69,4.14,56.8
Fiji,2005,2.86,107,67
Finland,2005,1.8,2370,79.1
France,2005,1.94,2980,80.4
Gabon,2005,4.23,69.4,59.5
Gambia,2005,5.84,10.4,62.4
Georgia,2005,1.66,23.6,73.4
Germany,2005,1.35,2780,79.7
Ghana,2005,4.49,23.1,60
Greece,2005,1.4,1260,79.3
Grenada,2005,2.34,197,74.5
Guatemala,2005,3.97,46,69.5
Guinea,2005,5.73,1.83,55.9
Guinea-Bissau,2005,5.39,3.74,53.2
Guyana,2005,2.84,66.6,66.6
Haiti,2005,3.76,4.17,59.8
Hungary,2005,1.3,657,72.9
Iceland,2005,2.07,4350,81.4
India,2005,2.97,7.32,65.5
Indonesia,2005,2.51,11.5,68.5
Iran,2005,1.83,69,74.3
Ireland,2005,1.98,2840,79
Israel,2005,2.91,898,80.1
Italy,2005,1.36,2070,80.9
Jamaica,2005,2.36,83.2,77.2
Japan,2005,1.31,2390,82.3
Jordan,2005,3.75,108,74.6
Kazakhstan,2005,2.26,94.9,65.3
Kenya,2005,4.84,9.69,56.9
Kiribati,2005,3.91,109,60.1
Kuwait,2005,2.5,678,79.2
Kyrgyz Republic,2005,2.58,11.6,67.1
Lao,2005,3.62,2.58,60.3
Latvia,2005,1.4,252,70.8
Lebanon,2005,1.75,198,76.4
Lesotho,2005,3.55,21.9,44.4
Libya,2005,2.49,138,74
Lithuania,2005,1.32,302,71.4
Luxembourg,2005,1.64,5470,79.4
Madagascar,2005,5.05,6.92,60.7
Malawi,2005,5.9,13,47.5
Malaysia,2005,2.29,97.9,74
Maldives,2005,2.34,174,75.6
Mali,2005,6.79,11.7,56.7
Malta,2005,1.4,957,79.3
Mauritania,2005,5.18,18.6,65.7
Mauritius,2005,1.82,111,72.9
"Micronesia, Fed. Sts.",2005,3.82,258,66.6
Moldova,2005,1.22,34.7,68.7
Mongolia,2005,2.17,26.3,63.9
Montenegro,2005,1.84,217,74.5
Morocco,2005,2.59,28.1,70.8
Mozambique,2005,5.74,13.6,50.6
Myanmar,2005,2.72,0.46,61.2
Namibia,2005,3.67,125,52.6
Nepal,2005,3.29,5.73,68
Netherlands,2005,1.71,2330,79.5
New Zealand,2005,2.05,1820,79.7
Niger,2005,7.61,7.72,55.7
Nigeria,2005,5.99,15.5,57.3
North Macedonia,2005,1.53,147,74.8
Norway,2005,1.84,4960,80.1
Oman,2005,2.95,272,74.9
Pakistan,2005,4.07,4.81,61.8
Panama,2005,2.65,249,78
Papua New Guinea,2005,4.26,24.6,55.6
Paraguay,2005,3.04,31.2,74.4
Peru,2005,2.68,76.3,76.8
Philippines,2005,3.5,16.5,69.1
Poland,2005,1.3,343,75.2
Portugal,2005,1.42,1260,78.8
Qatar,2005,2.57,1380,76.6
Romania,2005,1.38,204,72.2
Russia,2005,1.29,172,64.8
Rwanda,2005,5.14,10.3,57
Samoa,2005,4.46,92.7,72.2
Sao Tome and Principe,2005,5.02,43.3,66.1
Saudi Arabia,2005,3.42,339,74.7
Senegal,2005,5.16,23.9,63.4
Serbia,2005,1.64,203,72.7
Seychelles,2005,2.25,411,72.4
Sierra Leone,2005,5.86,4.38,52.6
Singapore,2005,1.26,302,81.1
Slovak Republic,2005,1.25,466,74.3
Slovenia,2005,1.31,1080,77.7
Solomon Islands,2005,4.5,68,61
South Africa,2005,2.68,175,52
Spain,2005,1.35,1520,80.5
Sri Lanka,2005,2.28,23.4,73.8
St. Lucia,2005,1.68,164,74.3
St. Vincent and the Grenadines,2005,2.17,150,72.4
Sudan,2005,5.14,9.77,65.7
Suriname,2005,2.67,125,69.9
Sweden,2005,1.79,3020,80.6
Switzerland,2005,1.43,3310,81.5
Syria,2005,3.56,31.6,75
Tajikistan,2005,3.5,4.1,69.2
Tanzania,2005,5.64,6.87,56.7
Thailand,2005,1.57,60.4,74.8
Timor-Leste,2005,6.79,39.4,67.7
Togo,2005,5.18,7.41,56.9
Tonga,2005,4.14,146,70.8
Trinidad and Tobago,2005,1.77,364,71.9
Tunisia,2005,1.99,93.3,75.8
Turkey,2005,2.27,259,76.7
Turkmenistan,2005,2.65,73.1,66.1
Uganda,2005,6.58,7.26,53.8
Ukraine,2005,1.25,70,67.8
United Arab Emirates,2005,2.15,608,72.5
United Kingdom,2005,1.76,2550,79.3
United States,2005,2.06,2950,77.6
Uruguay,2005,2.16,219,75.5
Uzbekistan,2005,2.46,12.6,66.8
Vanuatu,2005,3.85,44.4,63.4
Venezuela,2005,2.63,128,75.2
Vietnam,2005,1.89,9.84,72.5
Yemen,2005,5.43,14.3,65.9
Zambia,2005,5.79,24.1,49.3
Albania,2006,1.7,75.5,76.4
Algeria,2006,2.58,81.7,75.5
Angola,2006,6.42,50.9,56.4
Antigua and Barbuda,2006,2.2,351,76
Argentina,2006,2.43,259,75.4
Armenia,2006,1.3,33,73.6
Australia,2006,1.89,2220,81.4
Austria,2006,1.41,3040,80.1
Azerbaijan,2006,1.82,20.8,68
Bahamas,2006,1.87,804,73
Bahrain,2006,2.37,485,75.7
Bangladesh,2006,2.52,43,67.9
Barbados,2006,1.76,543,75.8
Belarus,2006,1.36,168,69.3
Belgium,2006,1.78,2690,79.6
Belize,2006,2.98,113,72.6
Benin,2006,5.58,14.3,59.6
Bhutan,2006,2.73,56.2,69.8
Bolivia,2006,3.51,41.3,69.4
Bosnia and Herzegovina,2006,1.29,169,76
Botswana,2006,2.95,291,54.2
Brazil,2006,1.93,205,73.5
Brunei,2006,1.82,598,74.8
Bulgaria,2006,1.38,169,72.7
Burkina Faso,2006,6.19,14.9,55.9
Burundi,2006,6.62,6.17,53.8
Cambodia,2006,3.16,7.99,64.5
Cameroon,2006,5.31,10.8,55.3
Canada,2006,1.6,2730,80.6
Cape Verde,2006,3.02,95.1,72.9
Central African Republic,2006,5.35,4.84,45.6
Chad,2006,6.99,7.83,53.7
Chile,2006,1.96,249,78.2
China,2006,1.57,38,74.9
Colombia,2006,2.16,193,76.6
Comoros,2006,5.17,15.4,64.8
"Congo, Dem. Rep.",2006,6.66,2.78,56.3
"Congo, Rep.",2006,5.03,31.7,57.1
Costa Rica,2006,2.03,283,79.2
Cote d'Ivoire,2006,5.38,8.51,54.9
Croatia,2006,1.4,680,75.8
Cuba,2006,1.57,332,78.3
Cyprus,2006,1.5,622,78.4
Czech Republic,2006,1.35,839,76.8
Denmark,2006,1.85,4240,78.3
Djibouti,2006,3.74,43.9,61.5
Dominican Republic,2006,2.72,78,73.2
Ecuador,2006,2.76,48.8,74.1
Egypt,2006,3,33.3,68.9
El Salvador,2006,2.47,126,72.9
Equatorial Guinea,2006,5.5,185,61
Eritrea,2006,4.88,3.83,56.6
Estonia,2006,1.58,459,73.1
Eswatini,2006,3.82,97.6,43.9
Ethiopia,2006,5.52,4.61,57.9
Fiji,2006,2.82,113,67
Finland,2006,1.84,2470,79.5
France,2006,1.96,3110,80.7
Gabon,2006,4.19,81.5,59.9
Gambia,2006,5.81,10.9,62.6
Georgia,2006,1.71,30.9,73.7
Germany,2006,1.36,2860,79.9
Ghana,2006,4.44,27.1,60.2
Greece,2006,1.42,1420,79.6
Grenada,2006,2.32,217,74.5
Guatemala,2006,3.83,56.5,69.9
Guinea,2006,5.65,2.16,56.1
Guinea-Bissau,2006,5.31,3.65,53.9
Guyana,2006,2.8,76.8,67.2
Haiti,2006,3.67,6.98,60.2
Hungary,2006,1.31,659,73.3
Iceland,2006,2.09,4240,81.7
India,2006,2.9,8.21,65.8
Indonesia,2006,2.51,16.4,68.7
Iran,2006,1.81,80.8,74.5
Ireland,2006,1.99,3010,79.3
Israel,2006,2.92,930,80.3
Italy,2006,1.38,2180,81.2
Jamaica,2006,2.33,102,77.3
Japan,2006,1.32,2220,82.6
Jordan,2006,3.73,120,75
Kazakhstan,2006,2.37,122,65.5
Kenya,2006,4.76,11.5,57.6
Kiribati,2006,3.9,105,60.3
Kuwait,2006,2.45,789,79.2
Kyrgyz Republic,2006,2.65,16.5,67.2
Lao,2006,3.52,3.11,61
Latvia,2006,1.43,379,70.3
Lebanon,2006,1.68,190,76.2
Lesotho,2006,3.47,28.6,44.2
Libya,2006,2.46,147,74.5
Lithuania,2006,1.35,384,71
Luxembourg,2006,1.63,5940,79.7
Madagascar,2006,4.96,7.92,61.1
Malawi,2006,5.83,14.6,48.5
Malaysia,2006,2.25,129,74.3
Maldives,2006,2.29,207,76.2
Mali,2006,6.76,12.8,57.2
Malta,2006,1.38,1000,79.5
Mauritania,2006,5.14,19.1,66.4
Mauritius,2006,1.78,110,73
"Micronesia, Fed. Sts.",2006,3.74,254,66.7
Moldova,2006,1.23,44.9,68.9
Mongolia,2006,2.24,33.8,64.4
Montenegro,2006,1.83,242,74.7
Morocco,2006,2.57,36.6,71.1
Mozambique,2006,5.71,13.2,50.6
Myanmar,2006,2.66,0.836,61.9
Namibia,2006,3.64,118,53.3
Nepal,2006,3.15,7.03,68.3
Netherlands,2006,1.72,3050,79.8
New Zealand,2006,2.09,1840,79.9
Niger,2006,7.59,8.6,56.5
Nigeria,2006,5.96,20.1,57.9
North Macedonia,2006,1.5,164,74.8
Norway,2006,1.9,5230,80.4
Oman,2006,2.91,278,75.1
Pakistan,2006,4.02,6.38,63.1
Panama,2006,2.64,246,78
Papua New Guinea,2006,4.21,23.7,55.6
Paraguay,2006,2.97,41.6,74.3
Peru,2006,2.65,84.3,77.4
Philippines,2006,3.43,17.1,69
Poland,2006,1.32,388,75.3
Portugal,2006,1.4,1270,79.1
Qatar,2006,2.43,1350,76.9
Romania,2006,1.4,231,72.7
Russia,2006,1.3,231,66.3
Rwanda,2006,5.02,16.5,58.7
Samoa,2006,4.46,110,72.4
Sao Tome and Principe,2006,4.97,32.3,66.8
Saudi Arabia,2006,3.33,401,74.7
Senegal,2006,5.13,28,63.9
Serbia,2006,1.61,234,73.2
Seychelles,2006,2.27,428,72.7
Sierra Leone,2006,5.75,4.01,53
Singapore,2006,1.28,323,81.5
Slovak Republic,2006,1.27,520,74.5
Slovenia,2006,1.36,1160,78
Solomon Islands,2006,4.46,59,61.1
South Africa,2006,2.66,184,52
Spain,2006,1.37,1670,80.9
Sri Lanka,2006,2.28,27.9,74.2
St. Lucia,2006,1.63,198,74.6
St. Vincent and the Grenadines,2006,2.15,179,72.6
Sudan,2006,5.09,14.9,66.1
Suriname,2006,2.64,165,70.2
Sweden,2006,1.87,3190,80.8
Switzerland,2006,1.44,3290,81.7
Syria,2006,3.47,32.2,75.3
Tajikistan,2006,3.49,4.9,69.3
Tanzania,2006,5.62,13.8,57.4
Thailand,2006,1.56,78.2,75.4
Timor-Leste,2006,6.69,44.2,68.2
Togo,2006,5.12,8.99,57.5
Tonga,2006,4.1,138,70.8
Trinidad and Tobago,2006,1.78,371,72.6
Tunisia,2006,2,101,76.1
Turkey,2006,2.24,301,77
Turkmenistan,2006,2.65,68.9,66.3
Uganda,2006,6.51,7.02,54.9
Ukraine,2006,1.3,89.8,68.5
United Arab Emirates,2006,2.07,659,72.6
United Kingdom,2006,1.8,2780,79.4
United States,2006,2.11,3170,77.8
Uruguay,2006,2.14,262,76
Uzbekistan,2006,2.46,15.9,67.3
Vanuatu,2006,3.76,50.8,63.5
Venezuela,2006,2.6,162,75.2
Vietnam,2006,1.9,15.3,72.7
Yemen,2006,5.25,16.3,66.4
Zambia,2006,5.72,35,50.2
Albania,2007,1.67,88.8,76.9
Algeria,2007,2.66,109,75.7
Angola,2007,6.37,68.4,57.5
Antigua and Barbuda,2007,2.18,397,76.3
Argentina,2007,2.41,334,75.1
Armenia,2007,1.4,48.3,73.9
Australia,2007,1.92,2670,81.4
Austria,2007,1.38,3520,80.2
Azerbaijan,2007,1.84,36.7,68.5
Bahamas,2007,1.87,805,73.5
Bahrain,2007,2.29,513,76.5
Bangladesh,2007,2.44,47.4,68.1
Barbados,2007,1.77,560,76.1
Belarus,2007,1.4,207,70.2
Belgium,2007,1.8,3070,79.6
Belize,2007,2.89,133,73.2
Benin,2007,5.52,16,60
Bhutan,2007,2.64,73.8,70.3
Bolivia,2007,3.43,44.4,69.7
Bosnia and Herzegovina,2007,1.29,223,75.7
Botswana,2007,2.92,386,55.8
Brazil,2007,1.88,255,73.7
Brunei,2007,1.81,662,74.9
Bulgaria,2007,1.42,218,73
Burkina Faso,2007,6.12,18,56.5
Burundi,2007,6.53,6.65,54.9
Cambodia,2007,3.09,10.3,65.3
Cameroon,2007,5.27,11.9,55.7
Canada,2007,1.62,3050,80.7
Cape Verde,2007,2.93,103,73
